iter	RMSE
0	0.1527290366
1	0.1515930873
2	0.1505805006
3	0.1496419626
4	0.1487155767
5	0.1478296605
6	0.147042724
7	0.1462187973
8	0.1454444183
9	0.1447713305
10	0.1441924708
11	0.1436114968
12	0.1429427508
13	0.1424169091
14	0.1418811194
15	0.1413856042
16	0.1409359577
17	0.140555724
18	0.1401325827
19	0.139690829
20	0.1392615171
21	0.1389261988
22	0.1386139454
23	0.1382724968
24	0.1378232436
25	0.1374928225
26	0.1371863097
27	0.1369055814
28	0.1364813871
29	0.1361479842
30	0.1359257285
31	0.1356996102
32	0.1354436959
33	0.1352070038
34	0.1349566173
35	0.1347168438
36	0.1344844022
37	0.1342984676
38	0.1340512838
39	0.1338065215
40	0.1335928029
41	0.1332922957
42	0.1331100463
43	0.1329220762
44	0.1327580605
45	0.1323993528
46	0.132300941
47	0.1320859199
48	0.1318969679
49	0.1316509495
50	0.1314819772
51	0.1313526306
52	0.1312162099
53	0.1310166539
54	0.1309108799
55	0.130709317
56	0.1305162329
57	0.1303761494
58	0.1302129715
59	0.1300465713
60	0.1297555099
61	0.1296000262
62	0.1294955641
63	0.1293893413
64	0.129156807
65	0.1290549197
66	0.1289309671
67	0.1286855983
68	0.1285040671
69	0.1283584996
70	0.1281693684
71	0.1280401567
72	0.1278573382
73	0.1277147167
74	0.1275859035
75	0.1274621193
76	0.1273259195
77	0.1271716087
78	0.1271015471
79	0.1270097635
80	0.1268610712
81	0.1266787738
82	0.1265793229
83	0.1264828407
84	0.1262740757
85	0.126082617
86	0.1259190592
87	0.1257794015
88	0.1256282717
89	0.1254640003
90	0.1253615886
91	0.1252872801
92	0.1251778011
93	0.12509874
94	0.1249934073
95	0.124847578
96	0.1247386982
97	0.124678359
98	0.124527416
99	0.1244060109
100	0.1242675519
101	0.1240918819
102	0.1239652998
103	0.1238984453
104	0.123775558
105	0.123674459
106	0.1235608985
107	0.1234365181
108	0.1232754619
109	0.1231843292
110	0.1231053632
111	0.1230293799
112	0.1229159749
113	0.1228438527
114	0.1226614651
115	0.1225591216
116	0.1224768364
117	0.1222900322
118	0.1221473215
119	0.1220295562
120	0.1219611359
121	0.1217928833
122	0.1216162637
123	0.1215079439
124	0.1213967406
125	0.1212992645
126	0.1211770293
127	0.1210009657
128	0.1208510875
129	0.1207662652
130	0.1206768725
131	0.120549953
132	0.1204815359
133	0.120402281
134	0.120284818
135	0.1201595309
136	0.1201041833
137	0.1200224004
138	0.1199185367
139	0.1198243908
140	0.1197407991
141	0.119660843
142	0.1195397097
143	0.1194002735
144	0.1193061055
145	0.119191192
146	0.1191058929
147	0.1189507224
148	0.1188438896
149	0.1187827927
150	0.1186383677
151	0.1185758319
152	0.1184689176
153	0.1184172344
154	0.1182877092
155	0.1182564642
156	0.1181297899
157	0.1181075298
158	0.117985399
159	0.1178820497
160	0.1178488272
161	0.1177474611
162	0.1176226827
163	0.117521136
164	0.1174096595
165	0.1173634509
166	0.1172664582
167	0.1172132478
168	0.1171694053
169	0.1170066372
170	0.1168560123
171	0.1167144824
172	0.116593688
173	0.1164633752
174	0.1163358834
175	0.1162328079
176	0.1160495689
177	0.1160074564
178	0.1158508921
179	0.11579474
180	0.1157424616
181	0.1156352535
182	0.1154375799
183	0.1153027287
184	0.115134218
185	0.1150020557
186	0.1148641622
187	0.1147250286
188	0.114626265
189	0.1145551245
190	0.1144739025
191	0.1143744871
192	0.114289069
193	0.1141166969
194	0.1140098735
195	0.113923684
196	0.1138642249
197	0.1137405224
198	0.1136309936
199	0.1135285061
200	0.1134425193
201	0.1132704143
202	0.1131876348
203	0.1130391644
204	0.1129283288
205	0.1127995125
206	0.112681259
207	0.1125970325
208	0.1125122431
209	0.1124038159
210	0.1123472932
211	0.1122690119
212	0.1121363801
213	0.1120103066
214	0.1118894082
215	0.1117787131
216	0.1116270184
217	0.1115215051
218	0.1114338055
219	0.1113323086
220	0.1112052893
221	0.1110995869
222	0.1109160004
223	0.110731732
224	0.1106075604
225	0.1105058865
226	0.1103909288
227	0.1103567744
228	0.110303224
229	0.110216796
230	0.1101130042
231	0.110041676
232	0.1099443512
233	0.1098425106
234	0.1097318352
235	0.1096710854
236	0.1095527907
237	0.109446035
238	0.1093606464
239	0.109199029
240	0.1091586741
241	0.1090704931
242	0.109041289
243	0.1089394883
244	0.1088356581
245	0.1087324195
246	0.108701575
247	0.1086125953
248	0.1085249782
249	0.1084771919
250	0.1084250296
251	0.1083930741
252	0.1082994012
253	0.108210107
254	0.1081384118
255	0.1081033293
256	0.1079690289
257	0.1078191876
258	0.1077969131
259	0.1077471885
260	0.1076110387
261	0.1075130691
262	0.1074387774
263	0.1073788438
264	0.107309859
265	0.1072289229
266	0.1071522692
267	0.1071319007
268	0.1070964066
269	0.1069963686
270	0.106930382
271	0.1067998125
272	0.1067570661
273	0.1066888454
274	0.1066573169
275	0.1065542846
276	0.1064670968
277	0.1063676248
278	0.1063013591
279	0.1062064236
280	0.106115899
281	0.1060545176
282	0.1060279559
283	0.1060090101
284	0.1059410922
285	0.1059233861
286	0.1058214877
287	0.105728472
288	0.1056748221
289	0.105615638
290	0.1055466641
291	0.1054707752
292	0.105418242
293	0.1053355094
294	0.1052436574
295	0.1052007643
296	0.1051352289
297	0.1050623325
298	0.1049867607
299	0.1048865833
