iter	Passed	Remaining
0	6	1865
1	12	1892
2	17	1745
3	22	1664
4	29	1716
5	36	1781
6	46	1929
7	51	1866
8	56	1810
9	61	1789
10	66	1748
11	71	1716
12	77	1712
13	82	1679
14	86	1651
15	93	1662
16	98	1639
17	103	1614
18	109	1621
19	114	1607
20	119	1585
21	125	1588
22	130	1574
23	136	1567
24	143	1574
25	148	1564
26	153	1555
27	158	1543
28	164	1534
29	169	1529
30	175	1522
31	180	1509
32	184	1496
33	191	1497
34	197	1492
35	202	1487
36	208	1482
37	214	1480
38	221	1482
39	227	1478
40	232	1470
41	239	1468
42	243	1456
43	247	1442
44	253	1437
45	258	1426
46	262	1413
47	268	1407
48	272	1397
49	277	1386
50	282	1378
51	286	1368
52	291	1357
53	296	1352
54	302	1346
55	307	1339
56	312	1332
57	318	1328
58	323	1322
59	328	1312
60	334	1309
61	339	1302
62	344	1294
63	349	1290
64	354	1281
65	358	1272
66	364	1266
67	370	1264
68	376	1258
69	383	1260
70	388	1253
71	395	1251
72	400	1246
73	405	1238
74	410	1232
75	415	1224
76	419	1215
77	424	1207
78	429	1202
79	434	1193
80	438	1185
81	443	1179
82	448	1172
83	453	1165
84	458	1158
85	462	1151
86	467	1143
87	471	1136
88	477	1130
89	482	1124
90	486	1117
91	492	1114
92	499	1112
93	504	1106
94	510	1102
95	515	1095
96	519	1087
97	525	1082
98	529	1075
99	534	1068
100	539	1063
101	544	1056
102	548	1049
103	553	1042
104	558	1036
105	562	1029
106	566	1022
107	572	1016
108	576	1010
109	580	1003
110	585	996
111	590	990
112	594	983
113	598	977
114	604	971
115	608	965
116	613	959
117	618	953
118	622	947
119	627	940
120	631	934
121	636	928
122	641	922
123	645	916
124	650	910
125	654	904
126	659	897
127	663	891
128	669	887
129	673	881
130	678	875
131	683	869
132	688	864
133	693	858
134	698	853
135	702	847
136	707	841
137	712	836
138	717	831
139	722	825
140	726	819
141	732	814
142	736	808
143	740	802
144	745	797
145	750	791
146	754	785
147	759	779
148	764	774
149	768	768
150	772	762
151	777	757
152	782	752
153	787	746
154	792	741
155	797	735
156	801	730
157	806	724
158	812	720
159	817	714
160	821	709
161	828	705
162	832	699
163	837	694
164	843	689
165	847	684
166	852	678
167	857	673
168	862	668
169	866	662
170	871	657
171	877	652
172	882	647
173	886	642
174	892	637
175	897	632
176	902	626
177	907	622
178	912	616
179	917	611
180	922	606
181	928	601
182	933	596
183	939	592
184	944	587
185	949	581
186	954	576
187	959	571
188	964	566
189	969	561
190	973	555
191	978	550
192	983	545
193	989	540
194	994	535
195	999	530
196	1005	525
197	1010	520
198	1015	515
199	1021	510
200	1025	505
201	1030	499
202	1036	495
203	1040	489
204	1045	484
205	1051	479
206	1055	474
207	1060	468
208	1065	464
209	1071	459
210	1076	453
211	1081	449
212	1086	443
213	1090	438
214	1095	432
215	1100	427
216	1104	422
217	1108	417
218	1113	411
219	1119	407
220	1124	402
221	1131	397
222	1136	392
223	1141	387
224	1148	382
225	1152	377
226	1156	371
227	1161	366
228	1166	361
229	1171	356
230	1178	351
231	1183	346
232	1188	341
233	1192	336
234	1197	331
235	1201	325
236	1206	320
237	1211	315
238	1215	310
239	1220	305
240	1224	299
241	1229	294
242	1233	289
243	1238	284
244	1243	279
245	1247	273
246	1252	268
247	1257	263
248	1261	258
249	1265	253
250	1270	247
251	1275	242
252	1279	237
253	1283	232
254	1287	227
255	1292	222
256	1296	216
257	1300	211
258	1307	206
259	1313	202
260	1317	196
261	1323	191
262	1327	186
263	1332	181
264	1337	176
265	1342	171
266	1347	166
267	1351	161
268	1357	156
269	1361	151
270	1365	146
271	1371	141
272	1376	136
273	1380	130
274	1385	125
275	1389	120
276	1394	115
277	1398	110
278	1403	105
279	1408	100
280	1412	95
281	1418	90
282	1423	85
283	1427	80
284	1432	75
285	1437	70
286	1442	65
287	1447	60
288	1451	55
289	1456	50
290	1460	45
291	1466	40
292	1470	35
293	1475	30
294	1482	25
295	1488	20
296	1492	15
297	1498	10
298	1503	5
299	1508	0
